log,phase,seconds,iters,passes
_logs/bm25_top40_256k_q6_8_resume3_lily-0.log,filter-proponents,17655,2,1
_logs/bm25_top40_256k_q8_10_resume3_orchid-0.log,Training,8848,2000,1
_logs/bm25_top40_256k_q8_10_resume3_orchid-0.log,filter-proponents,17708,2,1
_logs/bm25_top40_32k_q8_10_rerun2_yarrow-0.log,Training,1114,250,1
_logs/bm25_top40_32k_q8_10_rerun2_yarrow-0.log,filter-proponents,2233,2,1
_logs/bm25_top40_32k_q8_10_rerun_shared-ord-0.log,Training,1119,250,1
_logs/bm25_top40_32k_q8_10_rerun_shared-ord-0.log,filter-proponents,2206,2,1
_logs/bm25_top40_8k_q0_2_rerun2_wisteria-0.log,Training,289,63,1
_logs/bm25_top40_8k_q0_2_rerun2_wisteria-0.log,filter-proponents,582,2,1
_logs/bm25_top40_8k_q0_2_resume_bellflower-0.log,Training,295,63,1
